Sentence,NER
IL - 2 gene expression and NF - kappa B activation through CD28 requires reactive oxygen production by 5 - lipoxygenase .,B I I I O O B I I I O O B O O O O O B I I O
Activation of the CD28 surface receptor provides a major costimulatory signal for T cell activation resulting in enhanced production of interleukin - 2 ( IL - 2 ) and cell proliferation .,O O O B I I O O O O O O O O O O O O O O B I I O B I I O O O O O
In primary T lymphocytes we show that CD28 ligation leads to the rapid intracellular formation of reactive oxygen intermediates ( ROIs ) which are required for CD28 - mediated activation of the NF - kappa B / CD28 - responsive complex and IL - 2 expression .,O O O O O O O B O O O O O O O O O O O O O O O O O O B O O O O O B I I I O B I I I O B I I O O
"Delineation of the CD28 signaling cascade was found to involve protein tyrosine kinase activity , followed by the activation of phospholipase A2 and 5 - lipoxygenase .",O O O B O O O O O O B I I O O O O O O O B I O B I I O
These findings should be useful for therapeutic strategies and the development of immunosuppressants targeting the CD28 costimulatory pathway .,O O O O O O O O O O O O O O O B O O O
The peri - kappa B site mediates human immunodeficiency virus type 2 enhancer activation in monocytes but not in T cells .,O B I I I I O B I I I I I O O O O O O O O O
HIV - 1 and HIV - 2 display significant differences in nucleic acid sequence and in the natural history of clinical disease .,O O O O O O O O O O O O O O O O O O O O O O O
"Consistent with these differences , we have previously demonstrated that the enhancer / promoter region of HIV - 2 functions quite differently from that of HIV - 1 .",O O O O O O O O O O O B I I I O O O O O O O O O O O O O O
"Whereas activation of the HIV - 1 enhancer following T - cell stimulation is mediated largely through binding of the transcription factor NF - kappa B to two adjacent kappa B sites in the HIV - 1 long terminal repeat , activation of the HIV - 2 enhancer in monocytes and T cells is dependent on four cis - acting elements : a single kappa B site , two purine - rich binding sites , PuB1 and PuB2 , and a pets site .",O O O O B I I I O O O O O O O O O O O O B I B I I I O O O B I I O O B I I I I I O O O O B I I I O O O O O O O O O B I I I O O O B I I O O B I I I I O B O B O O O B I O
"We have now identified a novel cis - acting element within the HIV - 2 enhancer , immediately upstream of the kappa B site , designated peri - kappa B .",O O O O O O B I I I O O B I I I O O O O O B I I O O B I I I O
"This site is conserved among isolates of HIV - 2 and the closely related simian immunodeficiency virus , and transfection assays show this site to mediate HIV - 2 enhancer activation following stimulation of monocytic but not T - cell lines .",O O O O O O O O O O O O O O O O O O O O O O O O O O B I I I O O O O O O O O O O O O
"Further , while specific constitutive binding to the peri - kappa B site is seen in monocytes , stimulation with phorbol esters induces additional , specific binding .",O O O O O O O O B I I I I O O O O O O O O O O O O O O O
E1A gene expression induces susceptibility to killing by NK cells following immortalization but not adenovirus infection of human cells .,B I O O O O O O O O O O O O O O O O O O
Adenovirus ( Ad ) infection and E1A transfection were used to model changes in susceptibility to NK cell killing caused by transient vs stable E1A expression in human cells .,O O O O O O B O O O O O O O O O O O O O O O O O B O O O O O
"Only stably transfected target cells exhibited cytolytic susceptibility , despite expression of equivalent levels of E1A proteins in Ad - infected targets .",O O O O O O O O O O O O O O O B I O O O O O O
The inability of E1A gene products to induce cytolytic susceptibility during infection was not explained by an inhibitory effect of viral infection on otherwise susceptible target cells or by viral gene effects on class I MHC antigen expression on target cells .,O O O B I O O O O O O O O O O O O O O O O O O O O O O O O B I O O B I I I O O O O O
This differential effect of E1A expression on the cytolytic phenotypes of infected and stably transfected human cells suggests that human NK cells provide an effective immunologic barrier against the in vivo survival and neoplastic progression of E1A - immortalized cells that may emerge from the reservoir of persistently infected cells in the human host .,O O O O B O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
The CD4 coreceptor interacts with non - polymorphic regions of major histocompatibility complex class II molecules on antigen - presenting cells and contributes to T cell activation .,O B I O O B I I I O B I I I I I O O O O O O O O O O O O
We have investigated the effect of CD4 triggering on T cell activating signals in a lymphoma model using monoclonal antibodies ( mAb ) which recognize different CD4 epitopes .,O O O O O O B O O O O O O O O O O O B I O B O O O O B I O
We demonstrate that CD4 triggering delivers signals capable of activating the NF - AT transcription factor which is required for interleukin - 2 gene expression .,O O O B O O O O O O O B I I I I O O O O B I I O O O
Lack of full activation of NF - AT could be correlated to a dramatically reduced capacity to induce calcium flux and could be complemented with a calcium ionophore .,O O O O O B I I O O O O O O O O O O O O O O O O O O O O O
The results identify functionally distinct epitopes on the CD4 coreceptor involved in activation of the Ras / protein kinase C and calcium pathways .,O O O O O B O O B I O O O O O B I I I I O O O O
Ligand - dependent repression of the erythroid transcription factor GATA - 1 by the estrogen receptor .,O O O O O O B I I B I I O O B I O
High - dose estrogen administration induces anemia in mammals .,O O O O O O O O O O
"In chickens , estrogens stimulate outgrowth of bone marrow - derived erythroid progenitor cells and delay their maturation .",O O O O O O O O O O O O O O O O O O O
"This delay is associated with down - regulation of many erythroid cell - specific genes , including alpha - and beta - globin , band 3 , band 4 . 1 , and the erythroid cell - specific histone H5 .",O O O O O O O O O O B I I I I O O B I I I I I O O O O O O O O O O O B I I I I B O
